id,test_id,success,cloud_provider,region,run_time,function_name,allocated_memory,cpu_cores,execution_time,latency,was_cold_start,estimated_costs_per_1m
5448,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,247,5872,f,2.565095
5184,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,248,5385,f,2.4924
4979,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,251,5110,f,2.52255
5413,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,253,5817,f,2.627405
4711,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,253,4874,f,2.457895
4881,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,260,6253,f,2.7872
5362,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,261,5885,f,2.710485
5081,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,261,6164,f,2.79792
4994,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,6195,f,2.80864
4728,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,5449,f,2.6331
5127,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,5020,f,2.6331
5053,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,5345,f,2.6331
4564,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,6165,f,2.80864
4745,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,5453,f,2.6331
5166,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,6072,f,2.80864
4681,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,5044,f,2.6331
4824,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,5698,f,2.72087
5400,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,5752,f,2.72087
4951,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,6333,f,2.80864
5004,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,5146,f,2.6331
4964,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,5382,f,2.6331
5381,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,6142,f,2.80864
4701,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,5833,f,2.72087
5071,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,5822,f,2.72087
5299,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,5464,f,2.6331
5369,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,5656,f,2.72087
4583,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,5820,f,2.72087
4536,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,4956,f,2.54533
4716,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,5321,f,2.6331
4659,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,262,5302,f,2.6331
4670,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5313,f,2.64315
4680,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5500,f,2.731255
4686,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,6012,f,2.81936
5301,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5121,f,2.64315
4501,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,4942,f,2.555045
5295,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5493,f,2.64315
4514,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5116,f,2.64315
5285,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,6245,f,2.81936
4718,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,6055,f,2.81936
5271,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5710,f,2.731255
4793,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5035,f,2.64315
4580,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5433,f,2.64315
4957,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5921,f,2.731255
4867,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,6007,f,2.81936
4890,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5666,f,2.731255
4517,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5605,f,2.731255
4907,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5675,f,2.731255
5443,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,6010,f,2.81936
4915,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,6363,f,2.81936
5249,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,4781,f,2.555045
4543,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5465,f,2.64315
4933,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5431,f,2.64315
5235,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5969,f,2.731255
4935,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5999,f,2.731255
4946,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,6106,f,2.81936
4566,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5869,f,2.731255
5224,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5268,f,2.64315
5220,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5092,f,2.64315
5213,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5457,f,2.64315
4523,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5801,f,2.731255
5207,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5444,f,2.64315
4981,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5802,f,2.731255
5399,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5064,f,2.64315
4812,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5587,f,2.731255
5395,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5026,f,2.64315
5002,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5898,f,2.731255
5187,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5167,f,2.64315
5016,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,6000,f,2.81936
5146,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5605,f,2.731255
5391,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5568,f,2.731255
5029,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5055,f,2.64315
5030,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5259,f,2.64315
4533,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,4453,f,2.46694
5135,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5425,f,2.64315
5039,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5729,f,2.731255
5044,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5285,f,2.64315
5128,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5024,f,2.64315
4582,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5629,f,2.731255
5154,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,4959,f,2.555045
5159,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5035,f,2.64315
5105,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5912,f,2.731255
5181,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5943,f,2.731255
4465,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5080,f,2.64315
4623,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5520,f,2.731255
4630,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5436,f,2.64315
4637,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5413,f,2.64315
4645,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5774,f,2.731255
5327,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5916,f,2.731255
4766,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,6131,f,2.81936
4769,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5904,f,2.731255
5320,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,4988,f,2.555045
4770,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5562,f,2.731255
4661,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,263,5674,f,2.731255
4705,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5781,f,2.74164
5429,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5797,f,2.74164
5426,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5815,f,2.74164
5416,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5653,f,2.74164
5415,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5559,f,2.74164
5409,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5152,f,2.6532
5450,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,2050,f,2.12256
5346,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,4743,f,2.56476
5298,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,6237,f,2.83008
5292,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5571,f,2.74164
5377,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5449,f,2.6532
5376,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5690,f,2.74164
5361,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5719,f,2.74164
5351,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,6324,f,2.83008
5243,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5681,f,2.74164
5230,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5109,f,2.6532
5225,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5931,f,2.74164
5216,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5777,f,2.74164
5209,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5605,f,2.74164
5208,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5490,f,2.6532
5202,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5070,f,2.6532
5201,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5447,f,2.6532
5196,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5990,f,2.74164
5145,rq1-aws-node-10,t,AWS Lambda,eu-central-1,Node.js 20.x,matrix-multiplication,512,2,264,5242,f,2.6532
